County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
57 - Yolo,6/9/2014,In Closure,$974892.00,3,Greater Sacramento Counties
01 - Alameda,6/23/2014,In Review,$42379183.00,41,Bay Area Counties
01 - Alameda,6/23/2014,Pending Construction,$328674748.00,125,Bay Area Counties
01 - Alameda,6/23/2014,In Construction,$1296692018.00,197,Bay Area Counties
01 - Alameda,6/23/2014,In Closure,$339603676.00,69,Bay Area Counties
07 - Contra Costa,6/23/2014,In Review,$19897049.00,33,Bay Area Counties
07 - Contra Costa,6/23/2014,Pending Construction,$15650890.00,47,Bay Area Counties
07 - Contra Costa,6/23/2014,In Construction,$15947654.00,49,Bay Area Counties
07 - Contra Costa,6/23/2014,In Closure,$33654430.00,11,Bay Area Counties
09 - El Dorado,6/23/2014,In Review,$11694046.00,7,Greater Sacramento Counties
09 - El Dorado,6/23/2014,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,6/23/2014,In Construction,$11688069.00,6,Greater Sacramento Counties
09 - El Dorado,6/23/2014,In Closure,$23189545.00,3,Greater Sacramento Counties
19 - Los Angeles,6/23/2014,In Review,$419016360.00,456,Greater Los Angeles Counties
19 - Los Angeles,6/23/2014,Pending Construction,$353568009.00,548,Greater Los Angeles Counties
19 - Los Angeles,6/23/2014,In Construction,$1760019802.00,858,Greater Los Angeles Counties
19 - Los Angeles,6/23/2014,In Closure,$889279105.00,795,Greater Los Angeles Counties
21 - Marin,6/23/2014,In Review,$4374057.00,17,Bay Area Counties
21 - Marin,6/23/2014,Pending Construction,$1982700.00,9,Bay Area Counties
21 - Marin,6/23/2014,In Construction,$24634677.00,15,Bay Area Counties
21 - Marin,6/23/2014,In Closure,$1560879.00,9,Bay Area Counties
28 - Napa,6/23/2014,In Review,$1602492.00,10,Bay Area Counties
28 - Napa,6/23/2014,Pending Construction,$390000.00,4,Bay Area Counties
28 - Napa,6/23/2014,In Construction,$35755251.00,17,Bay Area Counties
28 - Napa,6/23/2014,In Closure,$49489456.00,11,Bay Area Counties
30 - Orange,6/23/2014,In Review,$45577583.00,82,Greater Los Angeles Counties
30 - Orange,6/23/2014,Pending Construction,$22803568.00,60,Greater Los Angeles Counties
30 - Orange,6/23/2014,In Construction,$115849638.00,134,Greater Los Angeles Counties
30 - Orange,6/23/2014,In Closure,$333392892.00,246,Greater Los Angeles Counties
31 - Placer,6/23/2014,In Review,$9380206.00,19,Greater Sacramento Counties
31 - Placer,6/23/2014,Pending Construction,$594291.00,11,Greater Sacramento Counties
31 - Placer,6/23/2014,In Construction,$21499532.00,17,Greater Sacramento Counties
31 - Placer,6/23/2014,In Closure,$120667978.00,9,Greater Sacramento Counties
34 - Sacramento,6/23/2014,In Review,$47795994.00,58,Greater Sacramento Counties
34 - Sacramento,6/23/2014,Pending Construction,$96698792.00,35,Greater Sacramento Counties
34 - Sacramento,6/23/2014,In Construction,$346985042.00,125,Greater Sacramento Counties
34 - Sacramento,6/23/2014,In Closure,$115911412.00,50,Greater Sacramento Counties
38 - San Francisco,6/23/2014,In Review,$1181695168.00,71,Bay Area Counties
38 - San Francisco,6/23/2014,Pending Construction,$99956062.00,65,Bay Area Counties
38 - San Francisco,6/23/2014,In Construction,$1495427550.00,117,Bay Area Counties
38 - San Francisco,6/23/2014,In Closure,$443778475.00,85,Bay Area Counties
41 - San Mateo,6/23/2014,In Review,$78962536.00,25,Bay Area Counties
41 - San Mateo,6/23/2014,Pending Construction,$20433428.00,22,Bay Area Counties
41 - San Mateo,6/23/2014,In Construction,$252041094.00,56,Bay Area Counties
41 - San Mateo,6/23/2014,In Closure,$130691792.00,40,Bay Area Counties
43 - Santa Clara,6/23/2014,In Review,$491583155.00,84,Bay Area Counties
43 - Santa Clara,6/23/2014,Pending Construction,$28677865.00,60,Bay Area Counties
43 - Santa Clara,6/23/2014,In Construction,$1360111063.00,120,Bay Area Counties
43 - Santa Clara,6/23/2014,In Closure,$163456554.00,115,Bay Area Counties
48 - Solano,6/23/2014,In Review,$63306545.00,12,Bay Area Counties
48 - Solano,6/23/2014,Pending Construction,$8452777.00,12,Bay Area Counties
48 - Solano,6/23/2014,In Construction,$39062283.00,22,Bay Area Counties
48 - Solano,6/23/2014,In Closure,$40266365.00,19,Bay Area Counties
49 - Sonoma,6/23/2014,In Review,$2902203.00,17,Bay Area Counties
49 - Sonoma,6/23/2014,Pending Construction,$2782366.00,13,Bay Area Counties
49 - Sonoma,6/23/2014,In Construction,$122700001.00,39,Bay Area Counties
49 - Sonoma,6/23/2014,In Closure,$53210145.00,22,Bay Area Counties
56 - Ventura,6/23/2014,In Review,$68765752.00,43,Greater Los Angeles Counties
56 - Ventura,6/23/2014,Pending Construction,$14934310.00,40,Greater Los Angeles Counties
56 - Ventura,6/23/2014,In Construction,$396187006.00,82,Greater Los Angeles Counties
56 - Ventura,6/23/2014,In Closure,$25273778.00,51,Greater Los Angeles Counties
57 - Yolo,6/23/2014,In Review,$2128663.00,4,Greater Sacramento Counties
57 - Yolo,6/23/2014,Pending Construction,$589511.00,4,Greater Sacramento Counties
57 - Yolo,6/23/2014,In Construction,$2244416.00,11,Greater Sacramento Counties
57 - Yolo,6/23/2014,In Closure,$954892.00,2,Greater Sacramento Counties
01 - Alameda,7/3/2014,In Review,$42053183.00,39,Bay Area Counties
01 - Alameda,7/3/2014,Pending Construction,$329070768.00,126,Bay Area Counties
01 - Alameda,7/3/2014,In Construction,$1295511722.00,198,Bay Area Counties
01 - Alameda,7/3/2014,In Closure,$339546105.00,69,Bay Area Counties
07 - Contra Costa,7/3/2014,In Review,$20511434.00,36,Bay Area Counties
07 - Contra Costa,7/3/2014,Pending Construction,$15725890.00,48,Bay Area Counties
07 - Contra Costa,7/3/2014,In Construction,$15947654.00,49,Bay Area Counties
07 - Contra Costa,7/3/2014,In Closure,$33654430.00,11,Bay Area Counties
09 - El Dorado,7/3/2014,In Review,$11395240.00,7,Greater Sacramento Counties
09 - El Dorado,7/3/2014,Pending Construction,$311306.00,3,Greater Sacramento Counties
09 - El Dorado,7/3/2014,In Construction,$11688069.00,6,Greater Sacramento Counties
09 - El Dorado,7/3/2014,In Closure,$23189545.00,3,Greater Sacramento Counties
19 - Los Angeles,7/3/2014,In Review,$439815305.00,446,Greater Los Angeles Counties
19 - Los Angeles,7/3/2014,Pending Construction,$342945323.00,540,Greater Los Angeles Counties
19 - Los Angeles,7/3/2014,In Construction,$1728056559.00,871,Greater Los Angeles Counties
19 - Los Angeles,7/3/2014,In Closure,$926097614.00,793,Greater Los Angeles Counties
21 - Marin,7/3/2014,In Review,$4340317.00,17,Bay Area Counties
21 - Marin,7/3/2014,Pending Construction,$507701.00,8,Bay Area Counties
21 - Marin,7/3/2014,In Construction,$27152483.00,17,Bay Area Counties
21 - Marin,7/3/2014,In Closure,$1560879.00,9,Bay Area Counties
28 - Napa,7/3/2014,In Review,$1613658.00,11,Bay Area Counties
28 - Napa,7/3/2014,Pending Construction,$487630.00,5,Bay Area Counties
28 - Napa,7/3/2014,In Construction,$35755251.00,17,Bay Area Counties
28 - Napa,7/3/2014,In Closure,$49391826.00,10,Bay Area Counties
30 - Orange,7/3/2014,In Review,$45640342.00,81,Greater Los Angeles Counties
30 - Orange,7/3/2014,Pending Construction,$19794238.00,58,Greater Los Angeles Counties
30 - Orange,7/3/2014,In Construction,$118304097.00,135,Greater Los Angeles Counties
30 - Orange,7/3/2014,In Closure,$330286182.00,251,Greater Los Angeles Counties
31 - Placer,7/3/2014,In Review,$9221901.00,19,Greater Sacramento Counties
31 - Placer,7/3/2014,Pending Construction,$610009.00,12,Greater Sacramento Counties
31 - Placer,7/3/2014,In Construction,$21650814.00,18,Greater Sacramento Counties
31 - Placer,7/3/2014,In Closure,$120667978.00,9,Greater Sacramento Counties
34 - Sacramento,7/3/2014,In Review,$47268036.00,54,Greater Sacramento Counties
34 - Sacramento,7/3/2014,Pending Construction,$95970651.00,36,Greater Sacramento Counties
34 - Sacramento,7/3/2014,In Construction,$347721857.00,125,Greater Sacramento Counties
34 - Sacramento,7/3/2014,In Closure,$116562249.00,56,Greater Sacramento Counties
38 - San Francisco,7/3/2014,In Review,$1113318125.00,75,Bay Area Counties
38 - San Francisco,7/3/2014,Pending Construction,$168770682.00,66,Bay Area Counties
38 - San Francisco,7/3/2014,In Construction,$1495700795.00,116,Bay Area Counties
38 - San Francisco,7/3/2014,In Closure,$433736439.00,86,Bay Area Counties
41 - San Mateo,7/3/2014,In Review,$78964536.00,26,Bay Area Counties
41 - San Mateo,7/3/2014,Pending Construction,$20433428.00,22,Bay Area Counties
41 - San Mateo,7/3/2014,In Construction,$252056145.00,56,Bay Area Counties
41 - San Mateo,7/3/2014,In Closure,$129374163.00,37,Bay Area Counties
43 - Santa Clara,7/3/2014,In Review,$441547320.00,89,Bay Area Counties
43 - Santa Clara,7/3/2014,Pending Construction,$65284926.00,58,Bay Area Counties
43 - Santa Clara,7/3/2014,In Construction,$1377134032.00,125,Bay Area Counties
43 - Santa Clara,7/3/2014,In Closure,$160343489.00,106,Bay Area Counties
48 - Solano,7/3/2014,In Review,$63306545.00,12,Bay Area Counties
48 - Solano,7/3/2014,Pending Construction,$7894757.00,8,Bay Area Counties
48 - Solano,7/3/2014,In Construction,$39714401.00,26,Bay Area Counties
48 - Solano,7/3/2014,In Closure,$39273745.00,18,Bay Area Counties
49 - Sonoma,7/3/2014,In Review,$2611203.00,15,Bay Area Counties
49 - Sonoma,7/3/2014,Pending Construction,$3157366.00,14,Bay Area Counties
49 - Sonoma,7/3/2014,In Construction,$130388857.00,39,Bay Area Counties
49 - Sonoma,7/3/2014,In Closure,$55294097.00,23,Bay Area Counties
56 - Ventura,7/3/2014,In Review,$68751352.00,42,Greater Los Angeles Counties
56 - Ventura,7/3/2014,Pending Construction,$14934310.00,40,Greater Los Angeles Counties
56 - Ventura,7/3/2014,In Construction,$394459419.00,76,Greater Los Angeles Counties
56 - Ventura,7/3/2014,In Closure,$26994057.00,54,Greater Los Angeles Counties
57 - Yolo,7/3/2014,In Review,$2128663.00,4,Greater Sacramento Counties
57 - Yolo,7/3/2014,Pending Construction,$589511.00,4,Greater Sacramento Counties
57 - Yolo,7/3/2014,In Construction,$2251916.00,11,Greater Sacramento Counties
57 - Yolo,7/3/2014,In Closure,$954892.00,2,Greater Sacramento Counties
01 - Alameda,7/17/2014,In Review,$42237368.00,42,Bay Area Counties
01 - Alameda,7/17/2014,Pending Construction,$329329551.00,129,Bay Area Counties
01 - Alameda,7/17/2014,In Construction,$1294912318.00,197,Bay Area Counties
01 - Alameda,7/17/2014,In Closure,$340010689.00,68,Bay Area Counties
07 - Contra Costa,7/17/2014,In Review,$17251434.00,36,Bay Area Counties
07 - Contra Costa,7/17/2014,Pending Construction,$19111890.00,48,Bay Area Counties
07 - Contra Costa,7/17/2014,In Construction,$16647430.00,50,Bay Area Counties
07 - Contra Costa,7/17/2014,In Closure,$33714430.00,12,Bay Area Counties
09 - El Dorado,7/17/2014,In Review,$9876620.00,8,Greater Sacramento Counties
09 - El Dorado,7/17/2014,Pending Construction,$1936306.00,4,Greater Sacramento Counties
09 - El Dorado,7/17/2014,In Construction,$11688069.00,6,Greater Sacramento Counties
09 - El Dorado,7/17/2014,In Closure,$22363962.00,2,Greater Sacramento Counties
19 - Los Angeles,7/17/2014,In Review,$447163214.00,456,Greater Los Angeles Counties
19 - Los Angeles,7/17/2014,Pending Construction,$305011886.00,527,Greater Los Angeles Counties
19 - Los Angeles,7/17/2014,In Construction,$1739032994.00,873,Greater Los Angeles Counties
19 - Los Angeles,7/17/2014,In Closure,$918996129.00,796,Greater Los Angeles Counties
21 - Marin,7/17/2014,In Review,$7267435.00,18,Bay Area Counties
21 - Marin,7/17/2014,Pending Construction,$507701.00,8,Bay Area Counties
21 - Marin,7/17/2014,In Construction,$26967534.00,14,Bay Area Counties
21 - Marin,7/17/2014,In Closure,$1838919.00,12,Bay Area Counties
28 - Napa,7/17/2014,In Review,$1593658.00,10,Bay Area Counties
28 - Napa,7/17/2014,Pending Construction,$462630.00,5,Bay Area Counties
28 - Napa,7/17/2014,In Construction,$35274704.00,14,Bay Area Counties
28 - Napa,7/17/2014,In Closure,$49689303.00,12,Bay Area Counties
30 - Orange,7/17/2014,In Review,$54252149.00,79,Greater Los Angeles Counties
30 - Orange,7/17/2014,Pending Construction,$20181925.00,57,Greater Los Angeles Counties
30 - Orange,7/17/2014,In Construction,$117159428.00,138,Greater Los Angeles Counties
30 - Orange,7/17/2014,In Closure,$320695709.00,253,Greater Los Angeles Counties
31 - Placer,7/17/2014,In Review,$9464065.00,17,Greater Sacramento Counties
31 - Placer,7/17/2014,Pending Construction,$576579.00,11,Greater Sacramento Counties
31 - Placer,7/17/2014,In Construction,$21975661.00,20,Greater Sacramento Counties
31 - Placer,7/17/2014,In Closure,$120826740.00,10,Greater Sacramento Counties
34 - Sacramento,7/17/2014,In Review,$44286209.00,51,Greater Sacramento Counties
34 - Sacramento,7/17/2014,Pending Construction,$101151030.00,41,Greater Sacramento Counties
34 - Sacramento,7/17/2014,In Construction,$295078690.00,126,Greater Sacramento Counties
34 - Sacramento,7/17/2014,In Closure,$80162395.00,55,Greater Sacramento Counties
38 - San Francisco,7/17/2014,In Review,$1113226125.00,78,Bay Area Counties
38 - San Francisco,7/17/2014,Pending Construction,$100314182.00,65,Bay Area Counties
38 - San Francisco,7/17/2014,In Construction,$1564725741.00,106,Bay Area Counties
38 - San Francisco,7/17/2014,In Closure,$435483582.00,92,Bay Area Counties
41 - San Mateo,7/17/2014,In Review,$79165777.00,28,Bay Area Counties
41 - San Mateo,7/17/2014,Pending Construction,$19058428.00,21,Bay Area Counties
41 - San Mateo,7/17/2014,In Construction,$253372579.00,56,Bay Area Counties
41 - San Mateo,7/17/2014,In Closure,$129779991.00,37,Bay Area Counties
43 - Santa Clara,7/17/2014,In Review,$443607463.00,93,Bay Area Counties
43 - Santa Clara,7/17/2014,Pending Construction,$63118826.00,58,Bay Area Counties
43 - Santa Clara,7/17/2014,In Construction,$1376962314.00,124,Bay Area Counties
43 - Santa Clara,7/17/2014,In Closure,$147121888.00,80,Bay Area Counties
48 - Solano,7/17/2014,In Review,$63072045.00,11,Bay Area Counties
48 - Solano,7/17/2014,Pending Construction,$7554257.00,8,Bay Area Counties
48 - Solano,7/17/2014,In Construction,$40109401.00,27,Bay Area Counties
48 - Solano,7/17/2014,In Closure,$35830902.00,17,Bay Area Counties
49 - Sonoma,7/17/2014,In Review,$2731203.00,18,Bay Area Counties
49 - Sonoma,7/17/2014,Pending Construction,$1045166.00,10,Bay Area Counties
49 - Sonoma,7/17/2014,In Construction,$133300645.00,45,Bay Area Counties
49 - Sonoma,7/17/2014,In Closure,$54194957.00,20,Bay Area Counties
56 - Ventura,7/17/2014,In Review,$68230675.00,41,Greater Los Angeles Counties
56 - Ventura,7/17/2014,Pending Construction,$15292987.00,42,Greater Los Angeles Counties
56 - Ventura,7/17/2014,In Construction,$394461171.00,75,Greater Los Angeles Counties
56 - Ventura,7/17/2014,In Closure,$26987205.00,54,Greater Los Angeles Counties
57 - Yolo,7/17/2014,In Review,$2128663.00,4,Greater Sacramento Counties
57 - Yolo,7/17/2014,Pending Construction,$589511.00,4,Greater Sacramento Counties
57 - Yolo,7/17/2014,In Construction,$2252916.00,11,Greater Sacramento Counties
57 - Yolo,7/17/2014,In Closure,$954892.00,2,Greater Sacramento Counties
01 - Alameda,7/30/2014,In Review,$42722368.00,44,Bay Area Counties
01 - Alameda,7/30/2014,Pending Construction,$329344551.00,129,Bay Area Counties
01 - Alameda,7/30/2014,In Construction,$1292132361.00,196,Bay Area Counties
01 - Alameda,7/30/2014,In Closure,$344708121.00,69,Bay Area Counties
07 - Contra Costa,7/30/2014,In Review,$14800434.00,33,Bay Area Counties
07 - Contra Costa,7/30/2014,Pending Construction,$18574593.00,48,Bay Area Counties
07 - Contra Costa,7/30/2014,In Construction,$21323608.00,50,Bay Area Counties
07 - Contra Costa,7/30/2014,In Closure,$34428587.00,16,Bay Area Counties
09 - El Dorado,7/30/2014,In Review,$9915620.00,9,Greater Sacramento Counties
09 - El Dorado,7/30/2014,Pending Construction,$1637500.00,2,Greater Sacramento Counties
09 - El Dorado,7/30/2014,In Construction,$11986875.00,8,Greater Sacramento Counties
09 - El Dorado,7/30/2014,In Closure,$22363962.00,2,Greater Sacramento Counties
19 - Los Angeles,7/30/2014,In Review,$454518281.00,460,Greater Los Angeles Counties
19 - Los Angeles,7/30/2014,Pending Construction,$303281813.00,526,Greater Los Angeles Counties
19 - Los Angeles,7/30/2014,In Construction,$1735492332.00,868,Greater Los Angeles Counties
19 - Los Angeles,7/30/2014,In Closure,$927779391.00,807,Greater Los Angeles Counties
21 - Marin,7/30/2014,In Review,$212576797.00,18,Bay Area Counties
21 - Marin,7/30/2014,Pending Construction,$795583.00,11,Bay Area Counties
21 - Marin,7/30/2014,In Construction,$26984034.00,14,Bay Area Counties
21 - Marin,7/30/2014,In Closure,$1800500.00,12,Bay Area Counties
28 - Napa,7/30/2014,In Review,$1603158.00,11,Bay Area Counties
28 - Napa,7/30/2014,Pending Construction,$306000.00,3,Bay Area Counties
28 - Napa,7/30/2014,In Construction,$35417334.00,16,Bay Area Counties
28 - Napa,7/30/2014,In Closure,$49689303.00,12,Bay Area Counties
30 - Orange,7/30/2014,In Review,$47568010.00,79,Greater Los Angeles Counties
30 - Orange,7/30/2014,Pending Construction,$18154318.00,58,Greater Los Angeles Counties
30 - Orange,7/30/2014,In Construction,$127328228.00,141,Greater Los Angeles Counties
30 - Orange,7/30/2014,In Closure,$304403981.00,254,Greater Los Angeles Counties
31 - Placer,7/30/2014,In Review,$9603466.00,17,Greater Sacramento Counties
31 - Placer,7/30/2014,Pending Construction,$576579.00,11,Greater Sacramento Counties
31 - Placer,7/30/2014,In Construction,$21975661.00,20,Greater Sacramento Counties
31 - Placer,7/30/2014,In Closure,$120832230.00,11,Greater Sacramento Counties
34 - Sacramento,7/30/2014,In Review,$40729645.00,48,Greater Sacramento Counties
34 - Sacramento,7/30/2014,Pending Construction,$104900983.00,47,Greater Sacramento Counties
34 - Sacramento,7/30/2014,In Construction,$296397797.00,124,Greater Sacramento Counties
34 - Sacramento,7/30/2014,In Closure,$79999777.00,53,Greater Sacramento Counties
38 - San Francisco,7/30/2014,In Review,$1109095720.00,79,Bay Area Counties
38 - San Francisco,7/30/2014,Pending Construction,$104952393.00,62,Bay Area Counties
38 - San Francisco,7/30/2014,In Construction,$1565937426.00,113,Bay Area Counties
38 - San Francisco,7/30/2014,In Closure,$436138191.00,89,Bay Area Counties
41 - San Mateo,7/30/2014,In Review,$79345777.00,28,Bay Area Counties
41 - San Mateo,7/30/2014,Pending Construction,$17859551.00,19,Bay Area Counties
41 - San Mateo,7/30/2014,In Construction,$254988892.00,57,Bay Area Counties
41 - San Mateo,7/30/2014,In Closure,$128242130.00,34,Bay Area Counties
43 - Santa Clara,7/30/2014,In Review,$340621604.00,82,Bay Area Counties
43 - Santa Clara,7/30/2014,Pending Construction,$12811265.00,61,Bay Area Counties
43 - Santa Clara,7/30/2014,In Construction,$1529269873.00,129,Bay Area Counties
43 - Santa Clara,7/30/2014,In Closure,$145726767.00,74,Bay Area Counties
48 - Solano,7/30/2014,In Review,$63616090.00,13,Bay Area Counties
48 - Solano,7/30/2014,Pending Construction,$7827420.00,9,Bay Area Counties
48 - Solano,7/30/2014,In Construction,$40161138.00,28,Bay Area Counties
48 - Solano,7/30/2014,In Closure,$36177902.00,18,Bay Area Counties
49 - Sonoma,7/30/2014,In Review,$2721203.00,17,Bay Area Counties
49 - Sonoma,7/30/2014,Pending Construction,$705166.00,9,Bay Area Counties
49 - Sonoma,7/30/2014,In Construction,$133760494.00,46,Bay Area Counties
49 - Sonoma,7/30/2014,In Closure,$49097338.00,21,Bay Area Counties
56 - Ventura,7/30/2014,In Review,$43226675.00,39,Greater Los Angeles Counties
56 - Ventura,7/30/2014,Pending Construction,$14600387.00,40,Greater Los Angeles Counties
56 - Ventura,7/30/2014,In Construction,$394889227.00,77,Greater Los Angeles Counties
56 - Ventura,7/30/2014,In Closure,$26972805.00,53,Greater Los Angeles Counties
57 - Yolo,7/30/2014,In Review,$2143663.00,5,Greater Sacramento Counties
57 - Yolo,7/30/2014,Pending Construction,$589511.00,4,Greater Sacramento Counties
57 - Yolo,7/30/2014,In Construction,$2252916.00,11,Greater Sacramento Counties
57 - Yolo,7/30/2014,In Closure,$954892.00,2,Greater Sacramento Counties
01 - Alameda,8/14/2014,In Review,$42092368.00,43,Bay Area Counties
01 - Alameda,8/14/2014,Pending Construction,$329844551.00,130,Bay Area Counties
01 - Alameda,8/14/2014,In Construction,$1291056929.00,191,Bay Area Counties
01 - Alameda,8/14/2014,In Closure,$340586418.00,65,Bay Area Counties
07 - Contra Costa,8/14/2014,In Review,$12723809.00,31,Bay Area Counties
07 - Contra Costa,8/14/2014,Pending Construction,$20512018.00,51,Bay Area Counties
07 - Contra Costa,8/14/2014,In Construction,$22299089.00,50,Bay Area Counties
07 - Contra Costa,8/14/2014,In Closure,$34248897.00,15,Bay Area Counties
09 - El Dorado,8/14/2014,In Review,$9955620.00,10,Greater Sacramento Counties
09 - El Dorado,8/14/2014,Pending Construction,$1637500.00,2,Greater Sacramento Counties
09 - El Dorado,8/14/2014,In Construction,$11986875.00,8,Greater Sacramento Counties
09 - El Dorado,8/14/2014,In Closure,$22363962.00,2,Greater Sacramento Counties
19 - Los Angeles,8/14/2014,In Review,$455216273.00,455,Greater Los Angeles Counties
19 - Los Angeles,8/14/2014,Pending Construction,$303709132.00,529,Greater Los Angeles Counties
19 - Los Angeles,8/14/2014,In Construction,$1699348416.00,858,Greater Los Angeles Counties
19 - Los Angeles,8/14/2014,In Closure,$837960958.00,784,Greater Los Angeles Counties
21 - Marin,8/14/2014,In Review,$212576797.00,18,Bay Area Counties
21 - Marin,8/14/2014,Pending Construction,$757164.00,11,Bay Area Counties
21 - Marin,8/14/2014,In Construction,$27055034.00,15,Bay Area Counties
21 - Marin,8/14/2014,In Closure,$1544528.00,9,Bay Area Counties
28 - Napa,8/14/2014,In Review,$1653058.00,12,Bay Area Counties
28 - Napa,8/14/2014,Pending Construction,$286000.00,2,Bay Area Counties
28 - Napa,8/14/2014,In Construction,$35229352.00,15,Bay Area Counties
28 - Napa,8/14/2014,In Closure,$49400912.00,13,Bay Area Counties
30 - Orange,8/14/2014,In Review,$45023150.00,79,Greater Los Angeles Counties
30 - Orange,8/14/2014,Pending Construction,$19892031.00,64,Greater Los Angeles Counties
30 - Orange,8/14/2014,In Construction,$127356089.00,142,Greater Los Angeles Counties
30 - Orange,8/14/2014,In Closure,$266807657.00,248,Greater Los Angeles Counties
31 - Placer,8/14/2014,In Review,$8789466.00,17,Greater Sacramento Counties
31 - Placer,8/14/2014,Pending Construction,$1756069.00,13,Greater Sacramento Counties
31 - Placer,8/14/2014,In Construction,$22016661.00,21,Greater Sacramento Counties
31 - Placer,8/14/2014,In Closure,$92974917.00,7,Greater Sacramento Counties
34 - Sacramento,8/14/2014,In Review,$40553304.00,46,Greater Sacramento Counties
34 - Sacramento,8/14/2014,Pending Construction,$97882285.00,47,Greater Sacramento Counties
34 - Sacramento,8/14/2014,In Construction,$303531107.00,125,Greater Sacramento Counties
34 - Sacramento,8/14/2014,In Closure,$78725273.00,55,Greater Sacramento Counties
38 - San Francisco,8/14/2014,In Review,$1013330279.00,80,Bay Area Counties
38 - San Francisco,8/14/2014,Pending Construction,$131575740.00,63,Bay Area Counties
38 - San Francisco,8/14/2014,In Construction,$1460732729.00,114,Bay Area Counties
38 - San Francisco,8/14/2014,In Closure,$610267366.00,80,Bay Area Counties
41 - San Mateo,8/14/2014,In Review,$79303777.00,27,Bay Area Counties
41 - San Mateo,8/14/2014,Pending Construction,$17901551.00,20,Bay Area Counties
41 - San Mateo,8/14/2014,In Construction,$218390115.00,55,Bay Area Counties
41 - San Mateo,8/14/2014,In Closure,$182325621.00,37,Bay Area Counties
43 - Santa Clara,8/14/2014,In Review,$340456206.00,82,Bay Area Counties
43 - Santa Clara,8/14/2014,Pending Construction,$12075210.00,62,Bay Area Counties
43 - Santa Clara,8/14/2014,In Construction,$1530070944.00,127,Bay Area Counties
43 - Santa Clara,8/14/2014,In Closure,$147179874.00,74,Bay Area Counties
48 - Solano,8/14/2014,In Review,$63342090.00,12,Bay Area Counties
48 - Solano,8/14/2014,Pending Construction,$8748420.00,12,Bay Area Counties
48 - Solano,8/14/2014,In Construction,$40131138.00,26,Bay Area Counties
48 - Solano,8/14/2014,In Closure,$34801233.00,16,Bay Area Counties
49 - Sonoma,8/14/2014,In Review,$2656203.00,15,Bay Area Counties
49 - Sonoma,8/14/2014,Pending Construction,$753166.00,10,Bay Area Counties
49 - Sonoma,8/14/2014,In Construction,$133693214.00,47,Bay Area Counties
49 - Sonoma,8/14/2014,In Closure,$48419704.00,17,Bay Area Counties
56 - Ventura,8/14/2014,In Review,$43449230.00,41,Greater Los Angeles Counties
56 - Ventura,8/14/2014,Pending Construction,$15991605.00,42,Greater Los Angeles Counties
56 - Ventura,8/14/2014,In Construction,$393300059.00,78,Greater Los Angeles Counties
56 - Ventura,8/14/2014,In Closure,$28772805.00,54,Greater Los Angeles Counties
57 - Yolo,8/14/2014,In Review,$294133.00,4,Greater Sacramento Counties
57 - Yolo,8/14/2014,Pending Construction,$2439041.00,5,Greater Sacramento Counties
57 - Yolo,8/14/2014,In Construction,$2252916.00,11,Greater Sacramento Counties
57 - Yolo,8/14/2014,In Closure,$940592.00,2,Greater Sacramento Counties
01 - Alameda,8/28/2014,In Review,$43087867.00,45,Bay Area Counties
01 - Alameda,8/28/2014,Pending Construction,$289335997.00,122,Bay Area Counties
01 - Alameda,8/28/2014,In Construction,$1183723189.00,187,Bay Area Counties
01 - Alameda,8/28/2014,In Closure,$489219963.00,73,Bay Area Counties
07 - Contra Costa,8/28/2014,In Review,$17049559.00,32,Bay Area Counties
07 - Contra Costa,8/28/2014,Pending Construction,$21423553.00,51,Bay Area Counties
07 - Contra Costa,8/28/2014,In Construction,$18524651.00,48,Bay Area Counties
07 - Contra Costa,8/28/2014,In Closure,$38131270.00,18,Bay Area Counties
09 - El Dorado,8/28/2014,In Review,$15319946.00,9,Greater Sacramento Counties
09 - El Dorado,8/28/2014,Pending Construction,$52500.00,2,Greater Sacramento Counties
09 - El Dorado,8/28/2014,In Construction,$15413317.00,9,Greater Sacramento Counties
09 - El Dorado,8/28/2014,In Closure,$22363962.00,2,Greater Sacramento Counties
19 - Los Angeles,8/28/2014,In Review,$465916689.00,466,Greater Los Angeles Counties
19 - Los Angeles,8/28/2014,Pending Construction,$298500470.00,535,Greater Los Angeles Counties
19 - Los Angeles,8/28/2014,In Construction,$1697307261.00,840,Greater Los Angeles Counties
19 - Los Angeles,8/28/2014,In Closure,$766164238.00,713,Greater Los Angeles Counties
21 - Marin,8/28/2014,In Review,$212886797.00,20,Bay Area Counties
21 - Marin,8/28/2014,Pending Construction,$757164.00,11,Bay Area Counties
21 - Marin,8/28/2014,In Construction,$27055034.00,15,Bay Area Counties
21 - Marin,8/28/2014,In Closure,$1544528.00,9,Bay Area Counties
28 - Napa,8/28/2014,In Review,$1653058.00,12,Bay Area Counties
28 - Napa,8/28/2014,Pending Construction,$0.00,0,Bay Area Counties
28 - Napa,8/28/2014,In Construction,$35469352.00,17,Bay Area Counties
28 - Napa,8/28/2014,In Closure,$49125912.00,12,Bay Area Counties
30 - Orange,8/28/2014,In Review,$41237748.00,68,Greater Los Angeles Counties
30 - Orange,8/28/2014,Pending Construction,$17927600.00,57,Greater Los Angeles Counties
